预测日期,报告期,交易代码,预测净利润,预测机构,分析师姓名
20121121,20121231,001872,455000000.0,瑞银证券,饶呈方
20121216,20121231,002001,983000000.0,兴业证券,项军
20121114,20121231,002004,427000000.0,东兴证券,宋凯
20121121,20121231,002004,427000000.0,东兴证券,宋凯
20121204,20121231,002004,378394000.0,瑞银证券,陆建巍
20121207,20121231,002004,365139000.0,瑞银证券,陆建巍
20121210,20121231,002004,410000000.0,兴业证券,郑方镳
20121221,20121231,002004,410000000.0,兴业证券,兴业证券化工研究团队
20121224,20121231,002004,371000000.0,长城证券,杨超
20121128,20121231,002005,171000000.0,瑞银证券,毛平
20121211,20121231,002005,171000000.0,瑞银证券,毛平
20121218,20121231,002005,210000000.0,北京高华证券,宋赟波
20121227,20121231,002005,324070000.0,光大证券,蒯剑
20121227,20121231,002005,334360000.0,宏源证券,沈建锋
20121227,20121231,002005,188000000.0,华泰证券,张彬
20121227,20121231,002005,171000000.0,瑞银证券,毛平
20121128,20121231,002006,-42600000.0,长江证券,刘元瑞
20121130,20121231,002006,34000000.0,宏源证券,王静
20121119,20121231,002007,339000000.0,兴业证券,项军
20121119,20121231,002007,344000000.0,华创证券,廖万国
20121119,20121231,002007,345200000.0,长江证券,邹朋
20121120,20121231,002007,323000000.0,第一创业,吕丽华
20121120,20121231,002007,349000000.0,东方证券,李淑花
20121120,20121231,002007,326000000.0,中投证券,周锐
20121121,20121231,002007,345000000.0,广发证券,贺菊颖
20121101,20121231,002010,200000000.0,宏源证券,张延明
20121106,20121231,002011,384000000.0,民生证券,刘静
20121119,20121231,002011,364000000.0,华泰证券,张洪道
20121130,20121231,002011,489730000.0,西南证券,李辉
20121212,20121231,002011,353000000.0,中信证券,张霆
20121101,20121231,002012,106320000.0,中信建投,张朝晖
20121224,20121231,002013,360000000.0,银河证券,鞠厚林
20121219,20121231,002014,178800000.0,安信证券,衡昆
20121122,20121231,002021,36930000.0,信达证券,范海波
20121120,20121231,002022,246000000.0,平安证券,邵青
20121120,20121231,002022,243020000.0,海通证券,刘宇
20121211,20121231,002022,267000000.0,中航证券,张绍坤
20121105,20121231,002023,99000000.0,中信证券,苏宝亮
20121116,20121231,002023,76000000.0,东北证券,许祥
20121129,20121231,002023,64110000.0,国泰君安,王稹
20121211,20121231,002023,79000000.0,中信证券,苏宝亮
20121102,20121231,002024,3153000000.0,长城证券,姚雯琦
20121108,20121231,002024,3211000000.0,中信证券,赵雪芹
20121118,20121231,002024,3170820000.0,光大证券,唐佳睿
20121205,20121231,002024,3170820000.0,光大证券,唐佳睿
20121206,20121231,002024,3142000000.0,招商证券,杨夏
20121206,20121231,002024,3211000000.0,中信证券,赵雪芹
20121211,20121231,002024,3126000000.0,招商证券,杨夏
20121212,20121231,002024,3211000000.0,中信证券,赵雪芹
20121214,20121231,002024,3288000000.0,日信证券,贾伟
20121219,20121231,002024,3156000000.0,财富里昂,宋丽华
20121228,20121231,002024,3259000000.0,中投证券,樊俊豪
20121212,20121231,002025,154000000.0,中信证券,薛小波
20121115,20121231,002028,218000000.0,国泰君安,刘骁
20121202,20121231,002028,221000000.0,招商证券,彭全刚
20121225,20121231,002028,219000000.0,东北证券,杨佳丽
20121101,20121231,002029,570000000.0,中银国际,刘都
20121212,20121231,002029,570000000.0,中信证券,鞠兴海
20121228,20121231,002029,511000000.0,西南证券,潘红敏
20121106,20121231,002030,86950000.0,东兴证券,宋凯
20121101,20121231,002031,173660000.0,华宝证券,王合绪
20121214,20121231,002032,429000000.0,中原证券,胡铸强
20121117,20121231,002033,140000000.0,兴业证券,刘璐丹
20121118,20121231,002033,131576000.0,宏源证券,孙妍
20121119,20121231,002033,140000000.0,国海证券,刘金沪
20121119,20121231,002033,137000000.0,华泰证券,郭琰
20121119,20121231,002033,138000000.0,东北证券,周思立
20121123,20121231,002033,131000000.0,瑞银证券,王鹏
20121127,20121231,002033,137400000.0,北京高华证券,廖绪发
20121128,20121231,002033,139030000.0,光大证券,林玉红
20121128,20121231,002033,135000000.0,中信证券,姜娅
20121128,20121231,002033,138000000.0,安信证券,董云翔
20121128,20121231,002033,144192000.0,第一创业,冯佳
20121128,20121231,002033,138000000.0,东北证券,周思立
20121128,20121231,002033,139000000.0,国海证券,刘金沪
20121128,20121231,002033,138240000.0,国都证券,杨志刚
20121129,20121231,002033,135000000.0,群益证券,张露
20121130,20121231,002033,141000000.0,中投证券,张镭
20121130,20121231,002033,143000000.0,招商证券,朱卫华
20121230,20121231,002033,135000000.0,中投证券,张镭
20121102,20121231,002035,160640000.0,信达证券,胡育杰
20121213,20121231,002035,160640000.0,信达证券,胡育杰
20121213,20121231,002035,150000000.0,中金公司,何伟
20121119,20121231,002037,230000000.0,兴业证券,刘刚
20121122,20121231,002037,226000000.0,华泰证券,赵森
20121122,20121231,002037,209000000.0,国海证券,代鹏举
20121122,20121231,002037,224000000.0,申银万国,周小波
20121122,20121231,002037,206910000.0,海通证券,邓勇
20121122,20121231,002037,217000000.0,中投证券,张镭
20121122,20121231,002037,221000000.0,平安证券,陈建文
20121122,20121231,002037,225000000.0,中信证券,李辉
20121129,20121231,002037,209000000.0,招商证券,卢平
20121130,20121231,002037,225000000.0,中银国际,苏文杰
20121130,20121231,002037,206910000.0,海通证券,邓勇
20121202,20121231,002037,208000000.0,华创证券,高利
20121128,20121231,002038,500000000.0,东方证券,李淑花
20121224,20121231,002038,484000000.0,兴业证券,项军
20121102,20121231,002041,259000000.0,齐鲁证券,谢刚
20121114,20121231,002041,262000000.0,华泰证券,蒋小东
20121114,20121231,002041,264469000.0,安信证券,吴莉
20121212,20121231,002041,257470000.0,海通证券,丁频
20121225,20121231,002041,258900000.0,长江证券,叶思阳
20121101,20121231,002042,125000000.0,中信证券,鞠兴海
20121211,20121231,002044,69000000.0,安信证券,刘军
20121121,20121231,002049,139000000.0,华创证券,刘洪军
20121210,20121231,002049,213910000.0,信达证券,庞立永
20121213,20121231,002049,216000000.0,平安证券,卢山
20121224,20121231,002049,213910000.0,信达证券,庞立永
20121121,20121231,002050,389000000.0,东方证券,唐思宇
20121122,20121231,002050,259000000.0,申银万国,周海晨
20121220,20121231,002051,649000000.0,中银国际,李攀
20121218,20121231,002052,195390000.0,中信建投,朱律
20121221,20121231,002056,140000000.0,国泰君安,魏兴耘
20121111,20121231,002063,279000000.0,中投证券,崔莹
20121203,20121231,002063,277000000.0,中投证券,崔莹
20121204,20121231,002063,265000000.0,民生证券,尹沿技
20121205,20121231,002063,279000000.0,光大证券,浦俊懿
20121115,20121231,002065,585000000.0,民生证券,尹沿技
20121120,20121231,002065,572700000.0,安信证券,侯利
20121122,20121231,002065,553440000.0,信达证券,边铁城
20121205,20121231,002065,578000000.0,群益证券,胡嘉铭
20121206,20121231,002065,582000000.0,广发证券,惠毓伦
20121220,20121231,002068,158000000.0,国盛证券,杨淳
20121112,20121231,002069,381000000.0,东北证券,郭伟明
20121113,20121231,002069,356800000.0,安信证券,李江
20121224,20121231,002073,208000000.0,长城证券,刘深
20121228,20121231,002073,260010000.0,信达证券,边铁城
20121228,20121231,002073,229100000.0,安信证券,侯利
20121122,20121231,002078,175000000.0,华泰证券,肖群
20121119,20121231,002079,46130000.0,日信证券,曾维强
20121121,20121231,002079,43370000.0,海通证券,邱春城
20121119,20121231,002081,1161000000.0,国金证券,贺国文
20121119,20121231,002081,1227000000.0,国海证券,刘金沪
20121119,20121231,002081,1114000000.0,华泰证券,黄亦恺
20121119,20121231,002081,1138000000.0,广发证券,唐笑
20121119,20121231,002081,1163000000.0,银河证券,罗泽兵
20121120,20121231,002081,1187000000.0,瑞银证券,于洋
20121120,20121231,002081,1135000000.0,申银万国,王胜
20121120,20121231,002081,1108500000.0,长江证券,史恒辉
20121120,20121231,002081,1131000000.0,中金公司,丁玥
20121120,20121231,002081,1162000000.0,中信证券,杨涛
20121120,20121231,002081,1171000000.0,东方证券,徐炜
20121128,20121231,002081,1111000000.0,东北证券,解文杰
20121125,20121231,002088,84000000.0,国海证券,范曾
20121108,20121231,002089,180000000.0,华泰证券,孔晓明
20121108,20121231,002089,181050000.0,海通证券,陈美风
20121112,20121231,002089,179000000.0,国海证券,马金良
20121112,20121231,002089,129790000.0,中信建投,戴春荣
20121219,20121231,002089,139000000.0,兴业证券,李明杰
20121127,20121231,002091,193000000.0,东北证券,潘喜峰
20121221,20121231,002104,140000000.0,西南证券,苏晓芳
20121114,20121231,002106,171000000.0,东北证券,周思立
20121115,20121231,002106,167000000.0,东兴证券,王明德
20121121,20121231,002106,169000000.0,中银国际,李鹏
20121123,20121231,002106,171000000.0,东北证券,周思立
