交易代码,机构名称,分析师名称,评级日期,评级有效期截止日,本次评级,前次评级,类型名称,分类
600050,北京高华证券,吕东风,2012-12-10,20131210.0,买入,中性,调高,评级变动方向
600060,申银万国,周海晨,2012-01-13,20120713.0,买入,,调高,评级变动方向
600060,西南证券,李辉,2012-02-08,20120808.0,买入,,调高,评级变动方向
600066,光大证券,奉玮,2012-12-25,20131225.0,买入,增持,调高,评级变动方向
600079,北京高华证券,钱风奇,2012-01-09,20130109.0,买入,,调高,评级变动方向
600089,安信证券,黄守宏,2012-09-28,20130328.0,买入,中性,调高,评级变动方向
600098,瑞银证券,徐颖真,2012-09-10,20130910.0,买入,中性,调高,评级变动方向
600104,华泰证券,陈亮,2012-06-18,20121218.0,买入,,调高,评级变动方向
600111,瑞银证券,林浩祥,2012-11-27,20131127.0,买入,中性,调高,评级变动方向
600111,安信证券,叶鑫,2012-12-05,20130605.0,买入,,调高,评级变动方向
600115,中信证券,张宏波,2012-05-02,20121102.0,买入,增持,调高,评级变动方向
600138,方正证券,陈光尧,2012-04-12,20121012.0,买入,,调高,评级变动方向
600141,国海证券,代鹏举,2012-06-13,20121213.0,买入,增持,调高,评级变动方向
600157,宏源证券,王京乐,2012-03-23,20120923.0,买入,,调高,评级变动方向
600157,宏源证券,王京乐,2012-11-15,20130515.0,买入,,调高,评级变动方向
600166,齐鲁证券,白宇,2012-04-26,20130426.0,买入,增持,调高,评级变动方向
600166,信达证券,邢海芝,2012-08-20,20130220.0,买入,增持,调高,评级变动方向
600166,齐鲁证券,白宇,2012-10-15,20131015.0,买入,,调高,评级变动方向
600170,中银国际,李攀,2012-03-27,20120927.0,买入,持有,调高,评级变动方向
600176,瑞银证券,密叶舟,2012-03-08,20130308.0,买入,中性,调高,评级变动方向
600197,海通证券,赵勇,2012-10-30,20130430.0,买入,,调高,评级变动方向
600199,安信证券,徐昊,2012-03-19,20120919.0,买入,增持,调高,评级变动方向
600208,申银万国,殷姿,2012-04-23,20121023.0,买入,,调高,评级变动方向
600216,国信证券,胡博新,2012-08-08,20130208.0,买入,增持,调高,评级变动方向
600221,中信证券,张宏波,2012-05-02,20121102.0,买入,持有,调高,评级变动方向
600231,宏源证券,赵丽明,2012-05-07,20121107.0,买入,,调高,评级变动方向
600252,国信证券,贺平鸽,2012-08-01,20130201.0,买入,增持,调高,评级变动方向
600261,申银万国,余斌,2012-12-10,20130610.0,买入,,调高,评级变动方向
600270,国信证券,岳鑫,2012-07-30,20130130.0,买入,,调高,评级变动方向
600271,申银万国,龚浩,2012-12-20,20130620.0,买入,,调高,评级变动方向
600276,瑞银证券,季序我,2012-05-11,20130511.0,买入,中性,调高,评级变动方向
600285,信达证券,李惜浣,2012-12-05,20130605.0,买入,,调高,评级变动方向
600295,宏源证券,赵丽明,2012-03-22,20120922.0,买入,,调高,评级变动方向
600305,华泰证券,张芸,2012-12-05,20130605.0,买入,,调高,评级变动方向
600309,北京高华证券,魏涛,2012-05-30,20130530.0,买入,中性,调高,评级变动方向
600309,兴业证券,刘曦,2012-09-28,20130928.0,买入,,调高,评级变动方向
600310,国海证券,李会坤,2012-10-30,20130430.0,买入,,调高,评级变动方向
600312,齐鲁证券,刘江啸,2012-11-11,20131111.0,买入,增持,调高,评级变动方向
600315,申银万国,王立平,2012-05-02,20121102.0,买入,,调高,评级变动方向
600315,国信证券,孙菲菲,2012-08-15,20130215.0,买入,,调高,评级变动方向
600340,中原证券,吴剑雄,2012-08-16,20130216.0,买入,,调高,评级变动方向
600356,兴业证券,雒雅梅,2012-05-09,20130509.0,买入,,调高,评级变动方向
600361,信达证券,司维,2012-03-29,20120929.0,买入,持有,调高,评级变动方向
600369,国信证券,邵子钦,2012-05-23,20121123.0,买入,,调高,评级变动方向
