交易代码,实际净利润公告日期,实际净利润报告期,报表类型,净利润,平均预测净利润
300600,2018-04-20,20171231,合并报表,107774786.09,105550000.0
300601,2018-04-25,20171231,合并报表,214703482.64,203700000.0
300616,2018-04-09,20171231,合并报表,380044995.99,372000000.0
300630,2018-04-12,20171231,合并报表,98404449.97,96000000.0
300642,2018-04-19,20171231,合并报表,126814971.01,125000000.0
300653,2018-03-30,20171231,合并报表,61669554.11,59000000.0
300661,2018-04-23,20171231,合并报表,93870960.54,92293333.33333333
300673,2018-04-11,20171231,合并报表,106761959.02,101890000.0
300685,2018-04-03,20171231,合并报表,94065765.39,90000000.0
300687,2018-04-25,20171231,合并报表,101011067.62,98300000.0
300700,2018-02-28,20171231,合并报表,111347272.3,98355000.0
300730,2018-04-23,20171231,合并报表,44494787.97,43000000.0
300733,2018-04-25,20171231,合并报表,101029928.84,99000000.0
600004,2018-04-21,20171231,合并报表,1595784592.59,1548500000.0
600009,2018-03-24,20171231,合并报表,3683408499.86,3544500000.0
600015,2018-04-20,20171231,合并报表,19819000000.0,19570000000.0
600018,2018-03-28,20171231,合并报表,11536191567.22,8415800000.0
600019,2018-04-10,20171231,合并报表,19170337569.64,16930503750.0
600022,2018-03-30,20171231,合并报表,1924452497.66,1665000000.0
600025,2018-04-26,20171231,合并报表,2188922701.47,1728585000.0
600026,2018-03-29,20171231,合并报表,1766339240.28,1073000000.0
600030,2018-03-23,20171231,合并报表,11433264545.6,11412700000.0
600048,2018-04-17,20171231,合并报表,15625886183.86,14486972666.666666
600054,2018-04-12,20171231,合并报表,414060459.87,379460000.0
600056,2018-03-31,20171231,合并报表,1298524427.7,1230166666.6666667
600057,2018-04-24,20171231,合并报表,714319076.87,655000000.0
600059,2018-03-30,20171231,合并报表,164344378.11,134000000.0
600064,2018-03-28,20171231,合并报表,946024722.66,736920000.0
600068,2018-03-30,20171231,合并报表,4683602072.05,4206945000.0
600093,2018-04-27,20171231,合并报表,815642832.53,805800000.0
600153,2018-04-17,20171231,合并报表,3330855310.59,3075515000.0
600161,2018-04-02,20171231,合并报表,1179942696.05,871900000.0
600168,2018-02-14,20171231,合并报表,327948552.15,327000000.0
600173,2018-04-13,20171231,合并报表,314829075.72,297090000.0
600176,2018-03-20,20171231,合并报表,2149849386.8,2088866250.0
600180,2018-04-20,20171231,合并报表,715124912.34,655840000.0
600195,2018-04-20,20171231,合并报表,399874058.66,362975000.0
600201,2018-04-28,20171231,合并报表,870094412.79,868541666.6666666
600216,2018-04-25,20171231,合并报表,253145602.27,202140000.0
600229,2018-04-20,20171231,合并报表,329363796.48,313000000.0
600258,2018-03-30,20171231,合并报表,630888146.25,585333333.3333334
600270,2018-03-27,20171231,合并报表,1352968803.87,1105666666.6666667
600271,2018-03-22,20171231,合并报表,1556572487.37,1552790000.0
600276,2018-04-16,20171231,合并报表,3216647998.16,3141410000.0
600277,2018-04-17,20171231,合并报表,521464877.06,469000000.0
600282,2018-02-13,20171231,合并报表,3200349431.1,3114000000.0
600298,2018-03-16,20171231,合并报表,847187749.2,845875000.0
600299,2018-03-21,20171231,合并报表,1323315773.0,1174790000.0
600305,2018-04-17,20171231,合并报表,280897521.51,245626000.0
600308,2018-03-17,20171231,合并报表,673681608.24,654000000.0
600309,2018-03-13,20171231,合并报表,11134790281.66,10498000000.0
600315,2018-03-21,20171231,合并报表,389801890.38,356815000.0
600323,2018-03-21,20171231,合并报表,652236336.97,619113333.3333334
600329,2018-03-31,20171231,合并报表,476079838.39,452000000.0
600332,2018-03-16,20171231,合并报表,2061651929.01,1993000000.0
600340,2018-03-30,20171231,合并报表,8780805977.79,8553750000.0
600346,2018-03-10,20171231,合并报表,1719330515.23,1603045454.5454545
600348,2018-04-28,20171231,合并报表,1637568053.27,1604120000.0
600376,2018-04-14,20171231,合并报表,2362777818.11,2174000000.0
600406,2018-04-19,20171231,合并报表,3240522727.39,1701000000.0
