wind代码,证券名称,董事会预案日,股东大会公告日,初始资金规模(万元),预计持股数量(万股),占总股本比例,资金来源,股票来源,持股人数,员工认购比例,高管认购比例
002555.SZ,三七互娱,2015-05-05 00:00:00,2015-06-02 00:00:00,10000.0,218.1976,,员工薪酬及自筹资金,认购非公开发行,72.0,78.2,21.8
000690.SZ,宝新能源,2015-05-16 00:00:00,2015-06-02 00:00:00,5735.8706,520.0,0.3,员工薪酬及自筹资金,"竞价转让,定向受让,股东赠与",25.0,41.08,58.92
002241.SZ,歌尔股份,2015-04-24 00:00:00,2015-06-04 00:00:00,40000.0,2987.0,1.96,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",1000.0,100.0,0.0
300390.SZ,天华超净,2015-05-19 00:00:00,2015-06-04 00:00:00,4868.64,216.0,1.57,"员工薪酬及自筹资金,股东或实际控制人借款",认购非公开发行,47.0,32.41,15.01
831984.OC,大道信通,2015-05-20 00:00:00,2015-06-04 00:00:00,500.0,250.0,12.5,员工薪酬及自筹资金,认购非公开发行,21.0,56.8,43.2
002169.SZ,智光电气,2015-05-12 00:00:00,2015-06-04 00:00:00,8600.0,756.3763,,员工薪酬及自筹资金,认购非公开发行,29.0,52.3,47.7
601566.SH,九牧王,2015-05-09 00:00:00,2015-06-06 00:00:00,30230.0,1489.16,2.59,员工薪酬及自筹资金,"竞价转让,定向受让",217.0,19.32,80.68
600315.SH,上海家化,2015-03-19 00:00:00,2015-06-09 00:00:00,634.37,15.09,0.0224,员工薪酬及自筹资金,竞价转让,1183.0,,
600117.SH,西宁特钢,2015-05-19 00:00:00,2015-06-09 00:00:00,2245.824,389.9,,员工薪酬及自筹资金,认购非公开发行,169.0,,
300199.SZ,翰宇药业,2015-05-15 00:00:00,2015-06-10 00:00:00,27000.0,1157.8044,1.19,员工薪酬及自筹资金,认购非公开发行,95.0,81.48,18.5
300121.SZ,阳谷华泰,2015-05-22 00:00:00,2015-06-12 00:00:00,5000.0,499.5,,员工薪酬及自筹资金,认购非公开发行,20.0,63.6,36.4
300351.SZ,永贵电器,2015-05-28 00:00:00,2015-06-13 00:00:00,8860.0,228.0,0.6762,员工薪酬及自筹资金,竞价转让,110.0,93.68,6.32
300351.SZ,永贵电器,2015-05-28 00:00:00,2015-06-13 00:00:00,8860.0,228.0,0.6762,员工薪酬及自筹资金,竞价转让,110.0,93.68,6.32
002548.SZ,金新农,2015-05-27 00:00:00,2015-06-13 00:00:00,17993.0,1900.0,6.13,员工薪酬及自筹资金,认购非公开发行,280.0,84.5789,15.4211
300159.SZ,新研股份,2015-05-30 00:00:00,2015-06-16 00:00:00,2546.0,200.0,,员工薪酬及自筹资金,认购非公开发行,162.0,95.0,5.0
