实际净利润公告日期,实际净利润报告期,交易代码,报表类型,净利润
2012-04-07,20101231,000061,合并报表(调整),276948019.61
2012-04-07,20101231,000061,母公司报表(单季度调整),-17122053.11
2012-04-07,20101231,000061,母公司报表(调整),221536788.74
2012-04-07,20101231,000061,合并报表(单季度调整),-45364662.64
2011-03-19,20101231,000062,合并报表(更正前),192448079.18
2011-03-19,20101231,000062,母公司报表(单季度),10741145.56
2011-03-19,20101231,000062,合并报表(单季度),33362340.8
2011-03-19,20101231,000062,合并报表,184274536.19
2011-03-19,20101231,000062,母公司报表,136163513.35
2012-03-17,20101231,000062,合并报表(调整),184274536.19
2012-03-17,20101231,000062,母公司报表(调整),136163513.35
2012-03-17,20101231,000062,母公司报表(单季度调整),10741145.56
2012-03-17,20101231,000062,合并报表(单季度调整),33362340.8
2012-03-29,20101231,000063,合并报表(单季度调整),1888822000.0
2011-03-18,20101231,000063,母公司报表(单季度),204353000.0
2012-03-29,20101231,000063,母公司报表(调整),323088000.0
2012-03-29,20101231,000063,合并报表(调整),3250247000.0
2011-03-18,20101231,000063,合并报表(单季度),1888822000.0
2011-03-18,20101231,000063,合并报表,3250247000.0
2011-03-18,20101231,000063,母公司报表,323088000.0
2012-03-29,20101231,000063,母公司报表(单季度调整),204353000.0
2012-03-13,20101231,000065,合并报表(调整),43860084.07
2012-03-13,20101231,000065,母公司报表(调整),32574859.12
2012-03-13,20101231,000065,母公司报表(单季度调整),25097592.98
2012-03-13,20101231,000065,合并报表(单季度调整),30133700.6
2011-03-29,20101231,000065,合并报表(单季度),30133700.6
2011-03-29,20101231,000065,母公司报表(单季度),25097592.98
2011-03-29,20101231,000065,合并报表,43860084.07
2011-03-29,20101231,000065,母公司报表,32574859.12
2012-04-13,20101231,000066,母公司报表(单季度调整),-13333132.22
2012-04-13,20101231,000066,合并报表(单季度调整),64004749.04
2012-04-13,20101231,000066,母公司报表(调整),6925834.32
2012-04-13,20101231,000066,合并报表(调整),217652276.31
2011-03-31,20101231,000066,合并报表(更正前),198416841.8
2011-03-31,20101231,000066,合并报表(单季度),64004749.04
2011-03-31,20101231,000066,母公司报表(单季度),-13333132.22
2011-03-31,20101231,000066,母公司报表,6925834.32
2011-03-31,20101231,000066,合并报表,217652276.31
2011-03-22,20101231,000068,母公司报表(单季度),78527807.67
2011-03-22,20101231,000068,合并报表,35390336.0
2011-03-22,20101231,000068,合并报表(单季度),78527807.67
2012-03-16,20101231,000068,合并报表(调整),35390336.0
2011-03-22,20101231,000068,母公司报表,35390336.0
2012-03-16,20101231,000068,合并报表(单季度调整),78527807.67
2011-03-04,20101231,000069,母公司报表,1472271649.4
2011-03-04,20101231,000069,合并报表,3039456390.71
2011-03-04,20101231,000069,合并报表(单季度),1385320799.19
2011-03-04,20101231,000069,母公司报表(单季度),1358978156.46
2012-03-17,20101231,000069,母公司报表(单季度调整),1358978156.46
2012-03-17,20101231,000069,合并报表(单季度调整),1385320799.19
2012-03-17,20101231,000069,母公司报表(调整),1472271649.4
2012-03-17,20101231,000069,合并报表(调整),3039456390.71
2011-03-15,20101231,000070,母公司报表(单季度),33161967.61
2011-03-15,20101231,000070,合并报表(单季度),30953467.66
2011-03-15,20101231,000070,合并报表,62757550.32
2011-03-15,20101231,000070,母公司报表,66470914.8
2012-04-25,20101231,000070,母公司报表(单季度调整),33161967.61
2012-04-25,20101231,000070,母公司报表(调整),66470914.8
2012-04-25,20101231,000070,合并报表(单季度调整),30953467.66
2012-04-25,20101231,000070,合并报表(调整),62757550.32
2011-03-25,20101231,000078,母公司报表(单季度),-21069752.67
2011-03-25,20101231,000078,合并报表,46668563.75
2011-03-25,20101231,000078,母公司报表,-35840110.29
2011-03-25,20101231,000078,合并报表(单季度),6231821.05
2012-04-10,20101231,000078,合并报表(调整),46668563.75
2012-04-10,20101231,000078,母公司报表(调整),-35840110.29
2012-04-10,20101231,000078,合并报表(单季度调整),6231821.05
2012-04-10,20101231,000078,母公司报表(单季度调整),-21069752.67
2012-03-17,20101231,000088,母公司报表(调整),421970646.27
2012-03-17,20101231,000088,合并报表(调整),410227038.69
2012-03-17,20101231,000088,母公司报表(单季度调整),59078086.17
2012-03-17,20101231,000088,合并报表(单季度调整),86166489.72
