实际净利润公告日期,实际净利润报告期,交易代码,报表类型,净利润
2018-03-13,20171231,768,合并报表,471401712.83
2018-06-16,20171231,769,合并报表,-5540027.43
2018-03-24,20171231,776,合并报表,8595399060.76
2018-03-27,20171231,777,合并报表,44560926.65
2018-04-10,20171231,778,合并报表,1093031785.37
2018-03-09,20171231,779,合并报表,79250626.74
2018-04-11,20171231,780,合并报表,483797872.03
2018-03-06,20171231,782,合并报表,35000982.43
2018-04-26,20171231,783,合并报表,1545112374.32
2018-03-31,20171231,785,合并报表,357535294.19
2018-03-17,20171231,786,合并报表,2343985433.41
2018-04-14,20171231,787,合并报表,282464292.32
2018-04-21,20171231,788,合并报表,34261005.09
2018-03-30,20171231,789,合并报表,462628211.17
2018-03-06,20171231,790,合并报表,171667021.23
2018-04-19,20171231,791,合并报表,246147345.97
2018-03-31,20171231,792,合并报表,-4159237936.36
2018-04-28,20171231,793,合并报表,277104888.34
2018-03-09,20171231,795,合并报表,102749259.92
2018-04-26,20171231,796,合并报表,220699435.5
2018-04-25,20171231,797,合并报表,249757938.61
2018-03-30,20171231,798,合并报表,54250588.34
2018-03-09,20171231,799,合并报表,176098749.52
2018-03-31,20171231,800,合并报表,281236836.76
2018-04-18,20171231,801,合并报表,7285437.03
2018-03-06,20171231,802,合并报表,310333510.41
2018-02-28,20171231,803,合并报表,16841438.37
2018-04-28,20171231,805,合并报表,21282802.5
2018-04-28,20171231,806,合并报表,9552612.25
2018-03-20,20171231,807,合并报表,657000965.36
2018-04-16,20171231,809,合并报表,101106840.27
2018-03-23,20171231,810,合并报表,94335732.74
2018-04-11,20171231,811,合并报表,314468217.97
2018-03-23,20171231,812,合并报表,27171269.56
2018-04-21,20171231,813,合并报表,797177693.48
2018-04-23,20171231,815,合并报表,25497783.75
2018-04-26,20171231,816,合并报表,-266076436.22
2018-02-27,20171231,818,合并报表,255541980.85
2018-03-27,20171231,819,合并报表,-9850583.24
2018-04-28,20171231,820,合并报表,159431111.19
2018-04-21,20171231,821,合并报表,153224480.3
2018-03-07,20171231,822,合并报表,685188745.71
2018-04-21,20171231,823,合并报表,191908277.74
2018-04-20,20171231,825,合并报表,4621885052.5
2018-04-10,20171231,826,合并报表,1251152164.7
2018-03-23,20171231,828,合并报表,886815931.63
2018-04-24,20171231,829,合并报表,234202623.19
2018-04-17,20171231,830,合并报表,1949936379.17
2018-04-21,20171231,831,合并报表,30511444.65
2018-04-27,20171231,832,合并报表,-27551285.67
2018-03-14,20171231,833,合并报表,79766204.56
2018-04-28,20171231,835,合并报表,127698057.5
2018-04-12,20171231,836,合并报表,84127543.52
2018-03-15,20171231,837,合并报表,16455025.72
2018-02-13,20171231,838,合并报表,195790204.51
2018-04-27,20171231,839,合并报表,259371259.04
2018-03-17,20171231,848,合并报表,413597862.0
2018-03-20,20171231,850,合并报表,104033477.26
2018-03-27,20171231,851,合并报表,179308287.39
2018-03-30,20171231,852,合并报表,9413754.4
2018-03-22,20171231,856,合并报表,15541798.68
2018-04-28,20171231,858,合并报表,9673721498.15
2018-04-12,20171231,859,合并报表,60227784.96
2018-03-31,20171231,860,合并报表,438369527.5
2018-04-24,20171231,861,合并报表,230026649.83
2018-03-22,20171231,862,合并报表,-188613747.39
2018-04-26,20171231,863,合并报表,265140596.9
2018-03-21,20171231,868,合并报表,-230152697.18
2018-04-23,20171231,869,合并报表,1031695056.0
2018-03-30,20171231,875,合并报表,-339533874.19
2018-04-28,20171231,876,合并报表,2280000493.58
2018-03-23,20171231,877,合并报表,264925215.15
2018-04-12,20171231,878,合并报表,227469149.31
2018-03-29,20171231,880,合并报表,23506041.36
2018-04-10,20171231,881,合并报表,388861592.85
2018-04-20,20171231,882,合并报表,19862779.19
2018-04-27,20171231,883,合并报表,2173200773.61
2018-04-20,20171231,885,合并报表,602850812.21
2018-04-25,20171231,886,合并报表,94310561.4
2018-04-20,20171231,887,合并报表,1127444859.16
2018-02-10,20171231,888,合并报表,196605770.5
2018-04-17,20171231,889,合并报表,228581216.75
2018-03-31,20171231,890,合并报表,143136710.33
2018-04-27,20171231,892,合并报表,422071618.2
2018-04-28,20171231,893,合并报表,-688323758.32
2018-03-27,20171231,895,合并报表,4319299922.47
2018-03-21,20171231,897,合并报表,-119359144.44
2018-03-27,20171231,898,合并报表,5605000000.0
2018-03-27,20171231,899,合并报表,16450075.11
2018-04-20,20171231,900,合并报表,864932316.92
2018-04-28,20171231,901,合并报表,170280019.52
2018-04-03,20171231,902,合并报表,680150701.31
2018-04-27,20171231,903,合并报表,264791660.02
